Name,Color,EarthRarity
Hydrogen,#8f8f8f,0.14
Helium,#8f8f8f,0
Lithium,#8f8f8f,0
Beryllium,#8f8f8f,0
Boron,#8f8f8f,0
Carbon,#8f8f8f,0.02
Nitrogen,#1290a3,78.1
Oxygen,#67abab,46.1
Fluorine,#8f8f8f,0.0585
Neon,#8f8f8f,0
Sodium,#8f8f8f,2.36
Magnesium,#8f8f8f,2.33
Aluminium,#8f8f8f,8.23
Silicon,#8f8f8f,28.2
Phosphorus,#8f8f8f,0.105
Sulfur,#8f8f8f,0.035
Chlorine,#8f8f8f,0.0145
Argon,#8f8f8f,0.934
Potassium,#8f8f8f,2.09
Calcium,#8f8f8f,4.15
Scandium,#8f8f8f,0
Titanium,#8f8f8f,0.565
Vanadium,#8f8f8f,0.012
Chromium,#8f8f8f,0.0102
Manganese,#8f8f8f,0.095
Iron,#8f8f8f,5.63
Cobalt,#8f8f8f,0
Nickel,#8f8f8f,0
Copper,#8f8f8f,0
Zinc,#8f8f8f,0
Gallium,#8f8f8f,0
Germanium,#8f8f8f,0
Arsenic,#8f8f8f,0
Selenium,#8f8f8f,0
Bromine,#8f8f8f,0
Krypton,#8f8f8f,0
Rubidium,#8f8f8f,0
Strontium,#8f8f8f,0.037
Yttrium,#8f8f8f,0
Zirconium,#8f8f8f,0.0165
Niobium,#8f8f8f,0
Molybdenum,#8f8f8f,0
Technetium,#8f8f8f,0
Ruthenium,#8f8f8f,0
Rhodium,#8f8f8f,0
Palladium,#8f8f8f,0
Silver,#8f8f8f,0
Cadmium,#8f8f8f,0
Indium,#8f8f8f,0
Tin,#8f8f8f,0
Antimony,#8f8f8f,0
Tellurium,#8f8f8f,0
Iodine,#8f8f8f,0
Xenon,#8f8f8f,0
Caesium,#8f8f8f,0
Barium,#8f8f8f,0.0425
Lanthanum,#8f8f8f,0
Cerium,#8f8f8f,0
Praseodymium,#8f8f8f,0
Neodymium,#8f8f8f,0
Promethium,#8f8f8f,0
Samarium,#8f8f8f,0
Europium,#8f8f8f,0
Gadolinium,#8f8f8f,0
Terbium,#8f8f8f,0
Dysprosium,#8f8f8f,0
Holmium,#8f8f8f,0
Erbium,#8f8f8f,0
Thulium,#8f8f8f,0
Ytterbium,#8f8f8f,0
Lutetium,#8f8f8f,0
Hafnium,#8f8f8f,0
Tantalum,#8f8f8f,0
Tungsten,#8f8f8f,0
Rhenium,#8f8f8f,0
Osmium,#8f8f8f,0
Iridium,#8f8f8f,0
Platinum,#8f8f8f,0
Gold,#8f8f8f,0
Mercury,#8f8f8f,0
Thallium,#8f8f8f,0
Lead,#8f8f8f,0
Bismuth,#8f8f8f,0
Polonium,#8f8f8f,0
Astatine,#8f8f8f,0
Radon,#8f8f8f,0
Francium,#8f8f8f,0
Radium,#8f8f8f,0
Actinium,#8f8f8f,0
Thorium,#8f8f8f,0
Protactinium,#8f8f8f,0
Uranium,#8f8f8f,0
Neptunium,#8f8f8f,0
Plutonium,#8f8f8f,0
Americium,#8f8f8f,0
Curium,#8f8f8f,0
Berkelium,#8f8f8f,0
Californium,#8f8f8f,0
Einsteinium,#8f8f8f,0
Fermium,#8f8f8f,0
Mendelevium,#8f8f8f,0
Nobelium,#8f8f8f,0
Lawrencium,#8f8f8f,0
Rutherfordium,#8f8f8f,0
Dubnium,#8f8f8f,0
Seaborgium,#8f8f8f,0
Bohrium,#8f8f8f,0
Hassium,#8f8f8f,0
Meitnerium,#8f8f8f,0
Darmstadium,#8f8f8f,0
Roentgenium,#8f8f8f,0
Copernicium,#8f8f8f,0
Nihonium,#8f8f8f,0
Flerovium,#8f8f8f,0
Moscovium,#8f8f8f,0
Livermorium,#8f8f8f,0
Tennessine,#8f8f8f,0
Oganesson,#8f8f8f,0
